case_date,judicial_officer,case_number
05-01-2021,Justice Coghlan,S ECR 2020 0348
06-01-2021,Justice Coghlan,S ECR 2020 0251
06-01-2021,Justice Stynes,S ECI 2021 00004
07-01-2021,Justice Coghlan,S ECR 2019 0290
08-01-2021,Justice Tinney,S ECR 2020 0148
08-01-2021,Justice Tinney,S ECR 2020 0237
11-01-2021,Justice Incerti,S ECR 2020 0349
11-01-2021,Justice Coghlan,S ECR 2019 0290
11-01-2021,Judicial Registrar Freeman,S ECR 2019 0168
11-01-2021,Judicial Registrar Freeman,S ECR 2020 0054
11-01-2021,Costs Registrar Conidi,S ECI 2020 03910
12-01-2021,Justice Croucher,S CR 2018 0331
12-01-2021,Justice Coghlan,S ECR 2019 0290
12-01-2021,Justice Coghlan,S CR 2018 0274
12-01-2021,Judicial Registrar Freeman,S ECR 2020 0371
12-01-2021,Judicial Registrar Freeman,S ECR 2020 0366
12-01-2021,Justice Digby,S CI 2015 06166
12-01-2021,Costs Registrar Walton,S ECI 2020 04128
13-01-2021,Justice Croucher,S CR 2018 0331
13-01-2021,Justice Coghlan,S ECR 2019 0290
13-01-2021,Justice Coghlan,S ECR 2020 0168
13-01-2021,Judicial Registrar Freeman,S ECR 2020 0375
13-01-2021,Judicial Registrar Freeman,S ECR 2020 0376
13-01-2021,Judicial Registrar Freeman,S ECR 2020 0377
14-01-2021,Justice Croucher,S CR 2018 0331
14-01-2021,Judicial Registrar Freeman,S ECR 2020 0163
15-01-2021,"Justice McLeish, Justice Emerton, Justice Weinberg",S EAPCR 2020 0053
15-01-2021,"Justice Emerton, Justice Weinberg, Justice Osborn",S EAPCR 2020 0045
15-01-2021,Justice T Forrest,S ECR 2019 0206
15-01-2021,Justice Croucher,S CR 2018 0331
15-01-2021,Justice Coghlan,S ECR 2020 0348
15-01-2021,Judicial Registrar Freeman,S ECR 2020 0162
18-01-2021,Justice T Forrest,S ECR 2019 0206
18-01-2021,Justice Croucher,S CR 2018 0331
18-01-2021,Justice Jane Dixon,S CR 2017 0100
18-01-2021,Justice Coghlan,S CR 2018 0274
18-01-2021,Associate Justice Hetyey,S ECI 2020 04299
18-01-2021,Costs Registrar Walton,S ECI 2020 04414
19-01-2021,The President,S EAPCR 2020 0018
19-01-2021,The President,S EAPCR 2020 0018
19-01-2021,"Justice McLeish, Justice Emerton, Justice Weinberg",S EAPCR 2020 0053
19-01-2021,"Justice Emerton, Justice Weinberg",S EAPCR 2020 0045
19-01-2021,Justice Croucher,S ECR 2020 0150
19-01-2021,Justice Incerti,S ECR 2021 0002
19-01-2021,Justice Jane Dixon,S CR 2015 0120
19-01-2021,Justice Jane Dixon,S CR 2017 0100
19-01-2021,Justice Coghlan,S ECR 2019 0290
19-01-2021,Justice Coghlan,S ECR 2020 0380
19-01-2021,Justice Incerti,S ECI 2020 00423
19-01-2021,Associate Justice Hetyey,S ECI 2019 04903
19-01-2021,Judicial Registrar Gourlay,S ECI 2020 03790
20-01-2021,Justice Croucher,S CR 2018 0331
20-01-2021,Justice Jane Dixon,S CR 2017 0100
20-01-2021,Justice Coghlan,S CI 2011 02436
20-01-2021,Judicial Registrar Irving,S ECI 2020 04155
20-01-2021,Judicial Registrar Irving,S ECI 2020 04478
20-01-2021,Judicial Registrar Irving,S ECI 2020 04529
20-01-2021,Judicial Registrar Irving,S ECI 2020 04570
20-01-2021,Judicial Registrar Irving,S ECI 2020 04633
20-01-2021,Judicial Registrar Irving,S ECI 2020 04644
20-01-2021,Associate Justice Daly,S ECI 2017 00145
21-01-2021,"Justice Niall, Justice Emerton",S EAPCR 2020 0267
21-01-2021,Justice Kaye,S CR 2018 0234
21-01-2021,Justice Incerti,S ECR 2021 0005
21-01-2021,Justice Jane Dixon,S CR 2017 0100
21-01-2021,Justice Coghlan,S ECR 2019 0176
21-01-2021,Judicial Registrar Freeman,S ECR 2020 0176
21-01-2021,Judicial Registrar Irving,S ECI 2019 04411
21-01-2021,Associate Justice Hetyey,S ECI 2020 04796
21-01-2021,Deputy Prothonotary Day,S CI 2009 07521
21-01-2021,Deputy Prothonotary Day,S ECI 2014 00305
21-01-2021,Deputy Prothonotary Day,S ECI 2014 00588
21-01-2021,Judicial Registrar Gourlay,S ECI 2020 03847
22-01-2021,"The President, Justice Niall, Justice Emerton",S EAPCR 2020 0249
22-01-2021,Justice Incerti,S ECR 2021 0004
22-01-2021,Justice Coghlan,S CR 2018 0296
22-01-2021,Justice Macaulay,S CI 2018 01986
22-01-2021,Justice Macaulay,S ECI 2019 03436
22-01-2021,Justice Delany,S ECI 2020 02465
22-01-2021,Associate Justice Hetyey,S ECI 2020 02316
22-01-2021,Associate Justice Hetyey,S ECI 2020 03231
27-01-2021,Justice T Forrest,S ECR 2020 0370
27-01-2021,Justice Croucher,S ECR 2021 0008
27-01-2021,Justice Tinney,S ECR 2019 0199
27-01-2021,Justice Tinney,S ECR 2019 0200
27-01-2021,Justice Coghlan,S ECR 2020 0380
27-01-2021,Justice Lasry,S CR 2018 0218
27-01-2021,Judicial Registrar Freeman,S ECR 2020 0251
27-01-2021,Judicial Registrar Freeman,S ECR 2020 0376
27-01-2021,Justice McMillan,S ECI 2018 00671
27-01-2021,Justice McMillan,S ECI 2019 00733
27-01-2021,Justice McMillan,S ECI 2020 04240
27-01-2021,Justice Keogh,S CI 2017 04275
27-01-2021,Justice Keogh,S CI 2018 00144
27-01-2021,Justice Moore,S ECI 2019 00999
27-01-2021,Justice Moore,S ECI 2021 00140
27-01-2021,Justice Moore,S ECI 2021 00130
27-01-2021,Justice Moore,S ECI 2018 02534
27-01-2021,Justice Digby,S CI 2015 06166
27-01-2021,Justice Osborne,S ECI 2020 01699
27-01-2021,Associate Justice Matthews,S ECI 2020 04248
27-01-2021,Associate Justice Matthews,S ECI 2020 04779
27-01-2021,Judicial Registrar Gourlay,S ECI 2020 03317
27-01-2021,Associate Justice Wood,S ECI 2019 00016
27-01-2021,Associate Justice Wood,S ECI 2019 04224
28-01-2021,"The President, Justice Beach, Justice Niall",S APCR 2019 0166
28-01-2021,"The President, Justice Beach, Justice Niall",S APCR 2019 0166
28-01-2021,"Justice Tate, Justice Emerton, Justice Sifris",S EAPCI 2020 0036
28-01-2021,"Justice Tate, Justice Emerton, Justice Sifris",S EAPCI 2020 0036
28-01-2021,"Justice Tate, Justice Emerton, Justice Sifris",S EAPCI 2020 0036
28-01-2021,"Justice Tate, Justice Emerton, Justice Sifris",S EAPCI 2020 0036
28-01-2021,Justice Croucher,S ECR 2020 0082
28-01-2021,Justice Champion,S CR 2018 0098
28-01-2021,Justice Tinney,S ECR 2021 0007
28-01-2021,Justice Tinney,S ECR 2019 0199
28-01-2021,Justice Tinney,S ECR 2019 0200
28-01-2021,Justice John Dixon,S ECI 2019 01228
28-01-2021,Justice Macaulay,S CI 2013 02758
28-01-2021,Justice Ginnane,S ECI 2020 04058
28-01-2021,Justice Moore,S ECI 2021 00140
28-01-2021,Judicial Registrar Keith,S ECI 2020 01447
28-01-2021,Justice Riordan,S ECI 2020 04723
28-01-2021,Justice Delany,S ECI 2020 00457
28-01-2021,Associate Justice Wood,S ECI 2020 03694
28-01-2021,Associate Justice Hetyey,S ECI 2020 03140
28-01-2021,Deputy Prothonotary Day,S ECI 2014 00126
28-01-2021,Associate Justice Daly,S ECI 2019 03486
28-01-2021,Associate Justice Ierodiaconou,S ECI 2020 00923
28-01-2021,Associate Justice Ierodiaconou,S CI 2017 04871
29-01-2021,"Justice McLeish, Justice Emerton, Justice Weinberg",S EAPCR 2020 0053
29-01-2021,"Justice Emerton, Justice Weinberg, Justice Osborn",S EAPCR 2020 0045
29-01-2021,"Justice Beach, Justice Kaye, Justice Niall",S EAPCR 2020 0044
29-01-2021,"Justice Beach, Justice Kaye, Justice Niall",S EAPCR 2020 0044
29-01-2021,Justice Champion,S CR 2018 0098
29-01-2021,Justice Taylor,S ECR 2020 0124
29-01-2021,Justice Coghlan,S CR 2020 0285
29-01-2021,Justice Lasry,S ECR 2020 0003
29-01-2021,Judicial Registrar Freeman,S ECR 2020 0111
29-01-2021,Judicial Registrar Freeman,S ECR 2020 0342
29-01-2021,Justice Tate,S ECI 2020 04762
29-01-2021,Justice John Dixon,S ECI 2019 01228
29-01-2021,Justice McMillan,S ECI 2019 05566
29-01-2021,Justice McMillan,S ECI 2019 05566
29-01-2021,Justice Ginnane,S ECI 2020 03043
29-01-2021,Justice Riordan,S ECI 2018 02987
29-01-2021,Justice Forbes,S ECI 2020 03706
29-01-2021,Justice Forbes,S CI 2016 03453
29-01-2021,Justice Forbes,S ECI 2019 02563
29-01-2021,Justice Forbes,S ECI 2019 03225
29-01-2021,Justice Forbes,S ECI 2019 04650
29-01-2021,Justice Forbes,S CI 2017 04679
29-01-2021,Justice Forbes,S ECI 2019 04997
29-01-2021,Justice Forbes,S ECI 2019 05142
29-01-2021,Justice Forbes,S ECI 2019 05649
29-01-2021,Justice Forbes,S ECI 2020 00814
29-01-2021,Justice Forbes,S ECI 2020 01233
29-01-2021,Justice Forbes,S ECI 2020 02059
29-01-2021,Justice Forbes,S ECI 2021 00093
29-01-2021,Justice Forbes,S ECI 2020 00011
29-01-2021,Justice Forbes,S ECI 2020 00011
29-01-2021,Justice Forbes,S ECI 2020 00667
29-01-2021,Justice Forbes,S ECI 2019 05068
29-01-2021,Justice Forbes,S ECI 2020 00882
29-01-2021,Justice Forbes,S ECI 2019 04459
29-01-2021,Justice Forbes,S ECI 2019 04459
29-01-2021,Justice Forbes,S ECI 2020 01849
29-01-2021,Judicial Registrar Gourlay,S ECI 2020 03906
29-01-2021,Judicial Registrar Clayton,S ECI 2020 03487
29-01-2021,Justice Sifris,S ECI 2017 00204
29-01-2021,Justice Almond,S ECI 2019 05931
29-01-2021,Justice Almond,S ECI 2018 00084
29-01-2021,Justice Sloss,S ECI 2017 00145
29-01-2021,Justice Sloss,S ECI 2018 02783
29-01-2021,Justice Sloss,S ECI 2018 02783
29-01-2021,Justice Riordan,S ECI 2020 04353
29-01-2021,Justice Riordan,S ECI 2019 03648
29-01-2021,Justice Riordan,S ECI 2020 01725
29-01-2021,Justice Riordan,S ECI 2020 01725
29-01-2021,Justice Riordan,S ECI 2020 01658
29-01-2021,Justice Riordan,S CI 2017 02524
29-01-2021,Justice Riordan,S CI 2018 01685
29-01-2021,Justice Riordan,S ECI 2020 03842
29-01-2021,Justice Riordan,S ECI 2020 04615
29-01-2021,Justice Delany,S CI 2017 01845
29-01-2021,Justice Delany,S CI 2017 01845
29-01-2021,Justice Delany,S CI 2017 03211
29-01-2021,Justice Delany,S ECI 2019 02871
29-01-2021,Justice Delany,S ECI 2020 03224
29-01-2021,Justice Delany,S ECI 2020 02306
29-01-2021,Justice Delany,S ECI 2020 03224
29-01-2021,Justice Delany,S ECI 2019 05839
29-01-2021,Justice Osborne,S ECI 2020 04587
29-01-2021,Justice Garde,S ECI 2019 04989
29-01-2021,Justice Garde,S ECI 2019 01416
29-01-2021,Justice Garde,S ECI 2019 01416
29-01-2021,Justice Garde,S ECI 2020 00491
29-01-2021,Justice Garde,S ECI 2019 02711
29-01-2021,Associate Justice Wood,S ECI 2020 00966
29-01-2021,Associate Justice Gardiner,S ECI 2020 04517
29-01-2021,Associate Justice Gardiner,S CI 2018 02092
29-01-2021,Associate Justice Gardiner,S CI 2018 02093
29-01-2021,Associate Justice Gardiner,S ECI 2019 05022
29-01-2021,Associate Justice Gardiner,S ECI 2019 05198
29-01-2021,Associate Justice Gardiner,S ECI 2019 05451
29-01-2021,Associate Justice Gardiner,S ECI 2020 02733
29-01-2021,Associate Justice Gardiner,S ECI 2020 04109
29-01-2021,Associate Justice Gardiner,S ECI 2020 04120
29-01-2021,Associate Justice Gardiner,S ECI 2020 04462
29-01-2021,Associate Justice Gardiner,S ECI 2020 04487
29-01-2021,Associate Justice Gardiner,S ECI 2020 04537
29-01-2021,Associate Justice Gardiner,S ECI 2020 04595
29-01-2021,Associate Justice Gardiner,S ECI 2020 04332
29-01-2021,Associate Justice Gardiner,S ECI 2020 04404
29-01-2021,Associate Justice Gardiner,S ECI 2020 04404
29-01-2021,Associate Justice Hetyey,S ECI 2020 03140
29-01-2021,Associate Justice Matthews,S CI 2017 03473
29-01-2021,Associate Justice Matthews,S ECI 2019 05425
29-01-2021,Associate Justice Matthews,S ECI 2019 05464
29-01-2021,Associate Justice Matthews,S ECI 2020 01738
29-01-2021,Associate Justice Matthews,S ECI 2020 01738
29-01-2021,Associate Justice Matthews,S ECI 2020 04752
29-01-2021,Associate Justice Matthews,S ECI 2021 00087
29-01-2021,Associate Justice Matthews,S ECI 2021 00112
29-01-2021,Associate Justice Matthews,S ECI 2021 00134
29-01-2021,Associate Justice Matthews,S ECI 2019 03371
29-01-2021,Associate Justice Matthews,S CI 2018 01770
01-02-2021,"The President, Justice Beach",S EAPCR 2020 0253
01-02-2021,"The President, Justice Beach",S EAPCR 2020 0253
01-02-2021,"The President, Justice Beach",S EAPCR 2020 0253
01-02-2021,"The President, Justice Beach",S EAPCR 2020 0264
01-02-2021,"The President, Justice Beach",S EAPCR 2020 0264
01-02-2021,"Justice McLeish, Justice Niall, Justice T. Forrest",S EAPCR 2020 0059
01-02-2021,"Justice McLeish, Justice Niall, Justice T. Forrest",S EAPCR 2020 0059
01-02-2021,Justice Croucher,S ECR 2019 0213
01-02-2021,Justice Champion,S CR 2018 0098
01-02-2021,Justice Taylor,S ECR 2020 0256
01-02-2021,Justice Lasry,S CR 2018 0218
01-02-2021,Judicial Registrar Freeman,S ECR 2019 0168
01-02-2021,Judicial Registrar Freeman,S ECR 2020 0054
01-02-2021,Judicial Registrar Freeman,S ECR 2021 0006
01-02-2021,Justice John Dixon,S ECI 2019 01228
01-02-2021,Justice Macaulay,S ECI 2019 05598
01-02-2021,Justice Macaulay,S ECI 2020 03887
01-02-2021,Justice Richards,S ECI 2019 00016
01-02-2021,Justice Richards,S ECI 2019 04224
01-02-2021,Justice Richards,S ECI 2019 03847
01-02-2021,Justice Richards,S ECI 2020 03014
01-02-2021,Justice Moore,S ECI 2019 00999
01-02-2021,Justice Forbes,S CI 2018 01815
01-02-2021,Judicial Registrar Gourlay,S ECI 2018 02520
01-02-2021,Justice Sloss,S ECI 2017 00145
01-02-2021,Justice Garde,S ECI 2020 04504
01-02-2021,Costs Registrar Conidi,S ECI 2020 02147
01-02-2021,Costs Registrar Conidi,S ECI 2020 03142
01-02-2021,Costs Registrar Conidi,S ECI 2020 04284
01-02-2021,Costs Registrar Walton,S ECI 2020 04495
01-02-2021,Associate Justice Efthim,S CI 2018 00144
01-02-2021,Associate Justice Efthim,S CI 2017 04815
02-02-2021,Judicial Registrar Irving,S EAPCR 2020 0053
02-02-2021,Judicial Registrar Irving,S EAPCR 2020 0053
02-02-2021,"The Chief Justice, Justice Beach, Justice Whelan",S APCI 2012 0045
02-02-2021,"The Chief Justice, Justice Beach, Justice Whelan",S APCI 2012 0066
02-02-2021,"The Chief Justice, Justice Beach, Justice Whelan",S APCI 2012 0181
02-02-2021,"The Chief Justice, Justice Beach, Justice Whelan",S EAPCI 2020 0021
02-02-2021,"The Chief Justice, Justice Beach, Justice Whelan",S EAPCI 2020 0029
02-02-2021,Justice Beale,S ECR 2019 0119
02-02-2021,Justice Champion,S CR 2018 0098
02-02-2021,Justice Coghlan,S ECR 2020 0168
02-02-2021,Justice Coghlan,S ECR 2020 0168
02-02-2021,Justice Lasry,S CR 2018 0218
02-02-2021,Judicial Registrar Freeman,S ECR 2021 0012
02-02-2021,Judicial Registrar Freeman,S ECR 2020 0123
02-02-2021,Justice Kennedy,S ECI 2019 05788
02-02-2021,Justice Keogh,S ECI 2019 01839
02-02-2021,Justice Keogh,S ECI 2019 03946
02-02-2021,Justice Richards,S ECI 2019 00016
02-02-2021,Justice Moore,S ECI 2019 00999
02-02-2021,Justice Garde,S ECI 2020 02461
02-02-2021,Judicial Registrar Englefield,S ECI 2020 00928
02-02-2021,Judicial Registrar Englefield,S CI 2017 03622
02-02-2021,Judicial Registrar Englefield,S ECI 2018 02139
02-02-2021,Judicial Registrar Englefield,S ECI 2018 02226
02-02-2021,Judicial Registrar Englefield,S ECI 2019 02715
02-02-2021,Judicial Registrar Englefield,S ECI 2020 01432
02-02-2021,Judicial Registrar Englefield,S ECI 2020 02581
02-02-2021,Judicial Registrar Englefield,S ECI 2020 02836
02-02-2021,Judicial Registrar Englefield,S ECI 2020 04257
02-02-2021,Judicial Registrar Keith,S ECI 2019 00642
02-02-2021,Judicial Registrar Keith,S ECI 2019 00642
02-02-2021,Judicial Registrar Keith,S ECI 2020 03892
02-02-2021,Judicial Registrar Keith,S ECI 2020 03892
02-02-2021,Judicial Registrar Keith,S ECI 2020 04551
02-02-2021,Judicial Registrar Keith,S ECI 2020 04574
02-02-2021,Judicial Registrar Keith,S ECI 2020 04654
02-02-2021,Judicial Registrar Keith,S ECI 2021 00068
02-02-2021,Judicial Registrar Keith,S ECI 2019 05345
02-02-2021,Justice Sloss,S ECI 2017 00145
02-02-2021,Associate Justice Gardiner,S ECI 2020 04517
02-02-2021,Associate Justice Hetyey,S ECI 2020 01887
02-02-2021,Judicial Registrar Gourlay,S ECI 2020 01074
02-02-2021,Costs Registrar Conidi,S ECI 2020 04078
02-02-2021,Associate Justice Matthews,S ECI 2019 03371
02-02-2021,Deputy Prothonotary Draper,S ECI 2020 02974
03-02-2021,"Justice Beach, Justice McLeish, Justice Niall",S EAPCR 2019 0197
03-02-2021,"Justice Beach, Justice McLeish, Justice Niall",S EAPCR 2019 0197
03-02-2021,Justice Beale,S CR 2018 0004
03-02-2021,Justice Coghlan,S CR 2020 0303
03-02-2021,Justice Coghlan,S CR 2021 0015
03-02-2021,Justice Lasry,S CR 2018 0218
03-02-2021,Judicial Registrar Freeman,S ECR 2020 0128
03-02-2021,Judicial Registrar Freeman,S ECR 2019 0149
03-02-2021,Justice John Dixon,S ECI 2020 00306
03-02-2021,Justice John Dixon,S ECI 2019 01384
03-02-2021,Justice Macaulay,S CI 2018 01440
03-02-2021,Justice Macaulay,S ECI 2019 04263
03-02-2021,Justice McMillan,S ECI 2021 00130
03-02-2021,Justice Riordan,S ECI 2018 02987
03-02-2021,Justice Keogh,S ECI 2019 04295
03-02-2021,Justice Richards,S ECI 2019 04224
03-02-2021,Justice Forbes,S ECI 2018 02004
03-02-2021,Judicial Registrar Keith,S ECI 2020 03314
03-02-2021,Judicial Registrar Keith,S ECI 2020 03314
03-02-2021,Judicial Registrar Keith,S ECI 2020 04663
03-02-2021,Judicial Registrar Keith,S ECI 2020 04663
03-02-2021,Judicial Registrar Keith,S ECI 2020 04756
03-02-2021,Judicial Registrar Keith,S ECI 2020 04793
03-02-2021,Judicial Registrar Keith,S ECI 2020 00663
03-02-2021,Justice Almond,S CI 2017 01498
03-02-2021,Justice Sloss,S ECI 2017 00145
03-02-2021,Justice Riordan,S ECI 2019 03648
03-02-2021,Justice Riordan,S ECI 2020 04723
03-02-2021,Justice Riordan,S CI 2018 01685
03-02-2021,Associate Justice Efthim,S ECI 2019 01678
03-02-2021,Associate Justice Hetyey,S ECI 2020 04774
03-02-2021,Associate Justice Matthews,S ECI 2020 04023
03-02-2021,Associate Justice Matthews,S ECI 2020 04349
03-02-2021,Associate Justice Matthews,S ECI 2020 04390
03-02-2021,Associate Justice Matthews,S ECI 2020 04402
03-02-2021,Associate Justice Matthews,S ECI 2020 04410
03-02-2021,Judicial Registrar Steffensen,S ECI 2020 03931
03-02-2021,Judicial Registrar Steffensen,S ECI 2020 04155
03-02-2021,Judicial Registrar Steffensen,S ECI 2020 04363
03-02-2021,Judicial Registrar Steffensen,S ECI 2020 04366
03-02-2021,Judicial Registrar Steffensen,S ECI 2020 04367
03-02-2021,Judicial Registrar Steffensen,S ECI 2020 04423
03-02-2021,Judicial Registrar Steffensen,S ECI 2020 04431
03-02-2021,Justice Garde,S ECI 2021 00158
03-02-2021,Associate Justice Efthim,S ECI 2018 01004
03-02-2021,Associate Justice Daly,S ECI 2018 02591
04-02-2021,"Justice Tate, Justice Emerton, Justice Sifris",S EAPCI 2019 0122
04-02-2021,"Justice Tate, Justice Emerton, Justice Sifris",S EAPCI 2019 0122
04-02-2021,"Justice Beach, Justice Whelan",S APCI 2012 0045
04-02-2021,"Justice Beach, Justice Whelan",S APCI 2012 0066
04-02-2021,"Justice Beach, Justice Whelan",S APCI 2012 0181
04-02-2021,"Justice Beach, Justice Whelan",S EAPCI 2020 0021
04-02-2021,"Justice Beach, Justice Whelan",S EAPCI 2020 0029
04-02-2021,Justice Hollingworth,S ECR 2020 0206
04-02-2021,Justice Coghlan,S ECR 2020 0224
04-02-2021,Justice Coghlan,S ECR 2020 0271
04-02-2021,Justice Coghlan,S ECR 2020 0272
04-02-2021,Justice Coghlan,S ECR 2020 0276
04-02-2021,Justice Coghlan,S ECR 2020 0278
04-02-2021,Justice Coghlan,S ECR 2020 0279
04-02-2021,Justice Coghlan,S ECR 2020 0298
04-02-2021,Justice Coghlan,S ECR 2020 0301
04-02-2021,Justice Coghlan,S ECR 2020 0302
04-02-2021,Justice Coghlan,S ECR 2020 0345
04-02-2021,Justice Lasry,S CR 2018 0218
04-02-2021,Judicial Registrar Freeman,S ECR 2020 0200
04-02-2021,Judicial Registrar Freeman,S ECR 2020 0201
04-02-2021,Judicial Registrar Freeman,S ECR 2020 0202
04-02-2021,Justice John Dixon,S ECI 2021 00208
04-02-2021,Justice Macaulay,S CI 2013 02758
04-02-2021,Justice McMillan,S ECI 2021 00212
04-02-2021,Justice Ginnane,S ECI 2020 00843
04-02-2021,Justice Riordan,S ECI 2018 02987
04-02-2021,Justice Keogh,S ECI 2019 00443
04-02-2021,Justice Forbes,S ECI 2020 04091
04-02-2021,Justice Almond,S CI 2017 01498
04-02-2021,Justice Sloss,S ECI 2017 00145
04-02-2021,Justice Riordan,S ECI 2019 03648
04-02-2021,Justice Riordan,S CI 2018 01685
04-02-2021,Justice Delany,S ECI 2019 00118
04-02-2021,Associate Justice Gardiner,S ECI 2020 02886
04-02-2021,Associate Justice Gardiner,S ECI 2020 03451
04-02-2021,Associate Justice Gardiner,S ECI 2020 04360
04-02-2021,Associate Justice Gardiner,S ECI 2020 04384
04-02-2021,Associate Justice Matthews,S CI 2018 01420
04-02-2021,Judicial Registrar Irving,S ECI 2020 00183
04-02-2021,Judicial Registrar Keith,S ECI 2020 03278
04-02-2021,Costs Registrar Conidi,S ECI 2019 04316
04-02-2021,Costs Registrar Walton,S ECI 2019 05878
04-02-2021,Associate Justice Efthim,S CI 2018 00144
04-02-2021,Associate Justice Efthim,S CI 2018 01685
04-02-2021,Associate Justice Efthim,S ECI 2018 02987
04-02-2021,Associate Justice Efthim,S ECI 2019 03648
04-02-2021,Associate Justice Wood,S CI 2016 03453
04-02-2021,Associate Justice Derham,S ECI 2020 01011
04-02-2021,Associate Justice Ierodiaconou,S ECI 2020 03648
04-02-2021,Associate Justice Ierodiaconou,S ECI 2020 03648
04-02-2021,Associate Justice Ierodiaconou,S ECI 2020 03485
04-02-2021,Associate Justice Ierodiaconou,S ECI 2019 05850
04-02-2021,Associate Justice Hetyey,S ECI 2020 03799
04-02-2021,Deputy Prothonotary Schade,S ECI 2020 04106
05-02-2021,"The Chief Justice, Justice Beach",S APCR 2019 0177
05-02-2021,"The Chief Justice, Justice Beach",S APCR 2019 0177
05-02-2021,"The Chief Justice, Justice Beach",S EAPCR 2019 0205
05-02-2021,"The Chief Justice, Justice Beach",S EAPCR 2019 0205
05-02-2021,"Justice Kaye, Justice McLeish, Justice Niall",S EAPCR 2020 0161
05-02-2021,"Justice Kaye, Justice McLeish, Justice Niall",S EAPCR 2020 0161
05-02-2021,"Justice Kaye, Justice McLeish, Justice Niall",S EAPCR 2020 0161
05-02-2021,"Justice Beach, Justice Kaye, Justice Niall",S EAPCR 2020 0044
05-02-2021,"Justice Beach, Justice Kaye, Justice Niall",S EAPCR 2020 0044
05-02-2021,Justice Hollingworth,S ECR 2019 0168
05-02-2021,Justice Beale,S ECR 2021 0009
05-02-2021,Justice Champion,S CR 2018 0063
05-02-2021,Justice Champion,S CR 2018 0064
05-02-2021,Justice Lasry,S CR 2018 0218
05-02-2021,Judicial Registrar Freeman,S ECR 2020 0163
05-02-2021,Justice John Dixon,S ECI 2020 04678
05-02-2021,Justice Croucher,S ECI 2019 01002
05-02-2021,Justice McDonald,S CI 2018 01579
05-02-2021,Justice Keogh,S ECI 2018 03010
05-02-2021,Justice Keogh,S ECI 2019 02937
05-02-2021,Justice Keogh,S ECI 2019 03697
05-02-2021,Justice Keogh,S CI 2018 01667
05-02-2021,Justice Keogh,S ECI 2018 01566
05-02-2021,Justice Keogh,S ECI 2019 04376
05-02-2021,Justice Keogh,S ECI 2019 04507
05-02-2021,Justice Keogh,S ECI 2019 04545
05-02-2021,Justice Keogh,S ECI 2019 01021
05-02-2021,Justice Keogh,S ECI 2019 04781
05-02-2021,Justice Keogh,S ECI 2019 05714
05-02-2021,Justice Keogh,S ECI 2020 00337
05-02-2021,Justice Keogh,S ECI 2020 01789
05-02-2021,Justice Keogh,S ECI 2020 02197
05-02-2021,Justice Keogh,S ECI 2019 03939
05-02-2021,Justice Keogh,S ECI 2019 04411
05-02-2021,Justice Keogh,S ECI 2019 04295
05-02-2021,Justice Keogh,S ECI 2020 00531
05-02-2021,Justice Moore,S ECI 2019 00999
05-02-2021,Justice Forbes,S ECI 2018 02808
05-02-2021,Judicial Registrar Irving,S ECI 2020 03428
05-02-2021,Judicial Registrar Keith,S CI 2016 02257
05-02-2021,Judicial Registrar Keith,S ECI 2019 04850
05-02-2021,Judicial Registrar Keith,S ECI 2020 02907
05-02-2021,Judicial Registrar Keith,S ECI 2020 03124
05-02-2021,Judicial Registrar Keith,S ECI 2020 03966
05-02-2021,Judicial Registrar Keith,S ECI 2020 04064
05-02-2021,Justice Riordan,S ECI 2020 00952
05-02-2021,Justice Riordan,S ECI 2020 02467
05-02-2021,Justice Riordan,S ECI 2020 03687
05-02-2021,Justice Riordan,S ECI 2018 00786
05-02-2021,Justice Riordan,S ECI 2018 02916
05-02-2021,Justice Riordan,S ECI 2018 02916
05-02-2021,Justice Riordan,S ECI 2020 01465
05-02-2021,Justice Riordan,S ECI 2019 05109
05-02-2021,Justice Riordan,S ECI 2019 05109
05-02-2021,Justice Riordan,S ECI 2015 00167
05-02-2021,Justice Connock,S CI 2017 04544
05-02-2021,Justice Connock,S CI 2018 02183
05-02-2021,Justice Connock,S ECI 2018 01128
05-02-2021,Justice Connock,S ECI 2020 02817
05-02-2021,Justice Connock,S ECI 2020 02817
05-02-2021,Justice Connock,S ECI 2020 03449
05-02-2021,Justice Connock,S ECI 2019 02873
05-02-2021,Justice Connock,S ECI 2019 04462
05-02-2021,Justice Connock,S ECI 2020 04194
05-02-2021,Justice Connock,S ECI 2020 04437
05-02-2021,Justice Nichols,S ECI 2019 05212
05-02-2021,Justice Nichols,S ECI 2020 03281
05-02-2021,Justice Nichols,S ECI 2020 03281
05-02-2021,Justice Osborne,S ECI 2019 05902
05-02-2021,Justice Garde,S ECI 2020 00450
05-02-2021,Justice Garde,S ECI 2020 00450
05-02-2021,Associate Justice Efthim,S ECI 2020 03436
05-02-2021,Associate Justice Efthim,S ECI 2020 04331
05-02-2021,Associate Justice Gardiner,S ECI 2020 04120
05-02-2021,Associate Justice Hetyey,S ECI 2020 01785
05-02-2021,Associate Justice Hetyey,S ECI 2019 04816
05-02-2021,Judicial Registrar Irving,S ECI 2020 03628
05-02-2021,Costs Registrar Walton,S ECI 2019 05879
05-02-2021,Associate Justice Daly,S ECI 2020 04483
05-02-2021,Associate Justice Ierodiaconou,S ECI 2019 01728
05-02-2021,Associate Justice Matthews,S ECI 2018 01134
